episode,reward,loss,epsilon,crops,covered,val_recall,val_crops,val_score
1,0.95,0.0,0.9996,3,2,0.3001,12.0,-0.0193
2,7.8,0.0,0.999,5,9,,,
3,6.95,0.0,0.9984,7,9,,,
4,10.8,0.0,0.9978,9,14,,,
5,-1.1,0.0,0.9973,7,0,,,
6,19.25,0.0,0.9965,12,23,,,
7,6.5,0.0,0.9957,9,10,,,
8,18.35,0.0,0.9949,9,22,,,
9,24.4,0.0,0.9944,7,28,,,
10,7.35,0.0,0.9939,3,9,,,
11,19.05,0.0,0.9934,3,20,,,
12,1.75,0.0,0.993,6,5,,,
13,9.65,0.0,0.9927,5,11,,,
14,13.95,0.0,0.9916,13,17,,,
15,6.65,0.0,0.991,7,12,,,
16,10.4,0.0,0.99,11,13,,,
17,1.9,0.0,0.9897,3,3,,,
18,40.35,0.0,0.9887,11,46,,,
19,-2.35,0.0,0.988,10,1,,,
20,-0.3,0.0,0.9874,8,1,,,
21,-0.5,0.0,0.9871,3,0,,,
22,5.8,0.0,0.9864,9,8,,,
23,2.35,0.0,0.9859,8,4,,,
24,10.85,0.0,0.9854,6,12,,,
25,17.4,0.0,0.9849,7,19,,,
26,56.9,0.0,0.984,11,62,,,
27,1.4,0.0,0.9832,11,4,,,
28,0.95,0.0,0.9825,8,3,,,
29,-0.9,0.0,0.9819,6,0,,,
30,42.2,0.0,0.9811,8,46,,,
31,1.7,0.0,0.9804,8,3,,,
32,6.25,0.0,0.98,6,9,,,
33,20.1,0.0,0.979,13,25,,,
34,0.9,0.0,0.9785,7,2,,,
35,22.95,0.0,0.9778,9,26,,,
36,0.8,0.0,0.9771,10,3,,,
37,10.3,0.0,0.9764,9,14,,,
38,69.0,0.0,0.9757,10,75,,,
39,-0.15,0.0,0.9749,10,2,,,
40,3.9,0.0,0.9743,7,6,,,
41,1.1,0.0,0.9733,11,5,,,
42,7.55,0.0,0.9725,10,10,,,
43,1.4,0.0,0.9719,8,3,,,
44,10.85,0.0,0.9714,6,13,,,
45,6.1,0.0,0.9711,4,7,,,
46,30.75,0.0,0.9707,6,34,,,
47,19.6,0.0,0.9698,11,24,,,
48,28.55,0.0,0.9688,12,34,,,
49,0.5,0.0,0.968,12,3,,,
50,6.15,1.291,0.9671,10,8,,,
51,1.7,1.4174,0.9664,8,3,,,
52,30.6,1.2364,0.9654,13,36,,,
53,1.3,1.2721,0.9648,6,3,,,
54,7.6,1.3285,0.9641,7,9,,,
